tweet_id,timestamp,rating,retweet_count,favorite_count,name,dog_stage,stage_count,source,text
892420643555336193,2017-08-01 16:23:56+00:00,13,8853,39467,Phineas,doggo,None,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU
892177421306343426,2017-08-01 00:17:27+00:00,13,6514,33819,Tilly,doggo,None,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV"
891815181378084864,2017-07-31 00:18:03+00:00,12,4328,25461,Archie,doggo,None,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB
891689557279858688,2017-07-30 15:58:51+00:00,13,8964,42908,Darla,doggo,None,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ
891327558926688256,2017-07-29 16:00:24+00:00,12,9774,41048,Franklin,doggo,None,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f"
891087950875897856,2017-07-29 00:08:17+00:00,13,3261,20562,None,doggo,None,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh
890971913173991426,2017-07-28 16:27:12+00:00,13,2158,12041,Jax,doggo,None,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl"
890729181411237888,2017-07-28 00:22:40+00:00,13,16716,56848,None,doggo,None,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq
890609185150312448,2017-07-27 16:25:51+00:00,13,4429,28226,Zoey,doggo,None,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b
890240255349198849,2017-07-26 15:59:51+00:00,14,7711,32467,Cassie,doggo,doggo,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A
890006608113172480,2017-07-26 00:31:25+00:00,13,7624,31166,Koda,doggo,None,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme
889880896479866881,2017-07-25 16:11:53+00:00,13,5156,28268,Bruno,doggo,None,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g
889665388333682689,2017-07-25 01:55:32+00:00,13,8538,38818,None,doggo,None,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm
889638837579907072,2017-07-25 00:10:02+00:00,12,4735,27672,Ted,doggo,None,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR
